,ALGN,ALGN,ALGN,ALGN,ALGN,ALGN,GOOGL,GOOGL,GOOGL,GOOGL,GOOGL,GOOGL,AMD,AMD,AMD,AMD,AMD,AMD,ATVI,ATVI,ATVI,ATVI,ATVI,ATVI,ALXN,ALXN,ALXN,ALXN,ALXN,ALXN,ADBE,ADBE,ADBE,ADBE,ADBE,ADBE,ADI,ADI,ADI,ADI,ADI,ADI,AMGN,AMGN,AMGN,AMGN,AMGN,AMGN,ANSS,ANSS,ANSS,ANSS,ANSS,ANSS,AMZN,AMZN,AMZN,AMZN,AMZN,AMZN
,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume
Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-11-03,233.85000610351562,242.5500030517578,233.85000610351562,241.35000610351562,241.35000610351562,1034900,1042.75,1050.6600341796875,1037.6500244140625,1049.989990234375,1049.989990234375,1388500,10.949999809265137,11.130000114440918,10.819999694824219,11.119999885559082,11.119999885559082,44264300,66.87000274658203,67.02999877929688,62.11000061035156,63.20000076293945,61.967247009277344,18879300,115.30999755859375,118.12999725341797,115.12000274658203,117.94999694824219,117.94999694824219,1367900,181.75999450683594,182.74000549316406,179.63999938964844,182.3000030517578,182.3000030517578,2244700,90.97000122070312,91.83000183105469,90.19000244140625,91.80999755859375,86.31565856933594,1367400,172.10000610351562,174.02999877929688,171.60000610351562,173.44000244140625,158.03799438476562,2433100,148.92999267578125,150.67999267578125,147.6999969482422,149.10000610351562,149.10000610351562,747600,1091.1500244140625,1112.6800537109375,1088.52001953125,1111.5999755859375,1111.5999755859375,3751500
2017-11-06,244.02000427246094,246.8300018310547,238.58999633789062,244.5,244.5,1063600,1049.0999755859375,1052.5899658203125,1042.0,1042.6800537109375,1042.6800537109375,914700,12.039999961853027,12.09000015258789,11.640000343322754,11.930000305175781,11.930000305175781,96349800,63.40999984741211,63.720001220703125,60.709999084472656,60.869998931884766,59.68268966674805,12947200,117.26000213623047,118.86000061035156,115.44000244140625,115.94000244140625,115.94000244140625,1840300,182.00999450683594,182.2899932861328,180.5399932861328,180.8000030517578,180.8000030517578,2021900,92.41999816894531,92.95999908447266,91.6500015258789,92.27999877929688,86.75752258300781,1531300,172.86000061035156,173.3300018310547,170.69000244140625,170.8000030517578,155.63238525390625,2692000,149.3000030517578,152.22000122070312,147.38999938964844,151.1999969482422,151.1999969482422,745000,1109.1500244140625,1125.4100341796875,1108.77001953125,1120.6600341796875,1120.6600341796875,3381100
2017-11-07,245.0,246.83999633789062,243.66000366210938,246.4600067138672,246.4600067138672,613000,1049.6500244140625,1053.4100341796875,1043.0,1052.3900146484375,1052.3900146484375,1305200,11.9399995803833,12.270000457763672,11.920000076293945,12.050000190734863,12.050000190734863,67900200,61.09000015258789,61.349998474121094,60.099998474121094,60.959999084472656,59.770938873291016,7597800,115.70999908447266,117.56999969482422,113.5199966430664,117.41999816894531,117.41999816894531,1956000,181.22999572753906,181.77999877929688,180.11000061035156,180.8800048828125,180.8800048828125,2544200,92.08000183105469,92.56999969482422,91.69999694824219,91.9000015258789,86.40026092529297,1416500,170.61000061035156,174.75,170.61000061035156,173.47999572753906,158.07440185546875,3097100,150.72000122070312,152.5,149.69000244140625,151.92999267578125,151.92999267578125,528800,1124.739990234375,1130.5999755859375,1117.5,1123.1700439453125,1123.1700439453125,2689000
2017-11-08,246.0,253.64999389648438,246.0,252.74000549316406,252.74000549316406,1080500,1050.050048828125,1062.68994140625,1047.050048828125,1058.2900390625,1058.2900390625,1213800,11.9399995803833,11.949999809265137,11.510000228881836,11.710000038146973,11.710000038146973,59065000,62.5,64.9000015258789,62.150001525878906,64.55000305175781,63.290916442871094,12604700,117.95999908447266,118.73999786376953,114.0999984741211,115.38999938964844,115.38999938964844,2211000,181.19000244140625,184.44000244140625,181.05999755859375,184.05999755859375,184.05999755859375,1791800,91.9000015258789,92.44999694824219,91.04000091552734,92.0,86.4942855834961,1617600,174.0,174.64999389648438,173.17999267578125,173.5800018310547,158.16552734375,2003400,151.36000061035156,152.72000122070312,149.6999969482422,151.47999572753906,151.47999572753906,487800,1122.8199462890625,1135.5400390625,1119.1099853515625,1132.8800048828125,1132.8800048828125,2581500
2017-11-09,251.8000030517578,254.19000244140625,245.52999877929688,249.6300048828125,249.6300048828125,1314700,1048.0,1050.8800048828125,1035.8499755859375,1047.719970703125,1047.719970703125,1794600,11.25,11.350000381469727,11.029999732971191,11.119999885559082,11.119999885559082,76821200,63.4900016784668,64.18000030517578,62.59000015258789,63.310001373291016,62.075103759765625,5421700,114.5199966430664,117.01000213623047,114.48999786376953,116.37000274658203,116.37000274658203,1367300,182.8800048828125,183.0800018310547,179.02999877929688,181.9199981689453,181.9199981689453,2704600,91.66999816894531,91.69000244140625,87.9800033569336,89.69999694824219,84.33192443847656,3143600,172.75,174.22999572753906,171.30999755859375,174.0,158.5482177734375,2005100,150.75,151.33999633789062,149.0,150.47000122070312,150.47000122070312,407200,1125.9599609375,1129.6199951171875,1115.77001953125,1129.1300048828125,1129.1300048828125,3732700
2017-11-10,249.3800048828125,251.02000427246094,246.25999450683594,249.4600067138672,249.4600067138672,927600,1043.8699951171875,1046.6300048828125,1041.219970703125,1044.1500244140625,1044.1500244140625,972100,11.220000267028809,11.430000305175781,11.119999885559082,11.260000228881836,11.260000228881836,50209900,62.869998931884766,63.06999969482422,62.25,63.0,61.771148681640625,4858900,115.48999786376953,116.13999938964844,114.91000366210938,115.16999816894531,115.16999816894531,1521800,181.0,182.05999755859375,179.8300018310547,181.72000122070312,181.72000122070312,2082600,89.54000091552734,90.02999877929688,88.87999725341797,89.58999633789062,84.22850036621094,2736400,173.14999389648438,173.47999572753906,171.19000244140625,172.35000610351562,157.04476928710938,1927400,150.13999938964844,150.5399932861328,149.2100067138672,150.27999877929688,150.27999877929688,315700,1126.0999755859375,1131.75,1124.06005859375,1125.3499755859375,1125.3499755859375,2179900
2017-11-13,249.2899932861328,257.6000061035156,248.2899932861328,253.72999572753906,253.72999572753906,952400,1040.800048828125,1048.739990234375,1039.260009765625,1041.199951171875,1041.199951171875,940700,11.180000305175781,11.199999809265137,10.920000076293945,11.09000015258789,11.09000015258789,54068300,62.720001220703125,63.970001220703125,62.66999816894531,63.619998931884766,62.379051208496094,3036800,115.0199966430664,115.3499984741211,113.22000122070312,113.44999694824219,113.44999694824219,1620100,180.5,182.32000732421875,179.75,181.85000610351562,181.85000610351562,1496100,89.36000061035156,90.20999908447266,89.0,90.02999877929688,84.64217376708984,2428800,171.5800018310547,172.94000244140625,171.10000610351562,171.5,156.270263671875,2119800,150.0,151.74000549316406,149.3699951171875,150.8699951171875,150.8699951171875,316800,1123.0,1139.9000244140625,1122.3399658203125,1129.1700439453125,1129.1700439453125,2918400
2017-11-14,251.77999877929688,256.1000061035156,251.0,254.02000427246094,254.02000427246094,948300,1037.719970703125,1042.300048828125,1029.3299560546875,1041.6400146484375,1041.6400146484375,1050600,11.029999732971191,11.260000228881836,11.0,11.119999885559082,11.119999885559082,37245000,63.369998931884766,64.4000015258789,62.790000915527344,64.02999877929688,62.78105545043945,4562800,113.08000183105469,113.5,109.62999725341797,109.9800033569336,109.9800033569336,2533100,181.97999572753906,182.1699981689453,180.30999755859375,181.32000732421875,181.32000732421875,1549700,89.79000091552734,90.48999786376953,89.4000015258789,90.44000244140625,85.02765655517578,2172600,170.88999938964844,171.49000549316406,168.30999755859375,170.1300048828125,155.02191162109375,2604700,150.25,150.6999969482422,149.17999267578125,149.42999267578125,149.42999267578125,552400,1130.1099853515625,1138.0,1123.8900146484375,1136.8399658203125,1136.8399658203125,3138400
2017-11-15,252.24000549316406,253.63999938964844,243.0,249.19000244140625,249.19000244140625,1465100,1035.0,1039.6300048828125,1030.760009765625,1036.4100341796875,1036.4100341796875,905300,11.010000228881836,11.130000114440918,10.770000457763672,11.069999694824219,11.069999694824219,33524700,63.43000030517578,63.66999816894531,62.5,62.88999938964844,61.66328811645508,4071100,110.0999984741211,111.25,108.63999938964844,110.33999633789062,110.33999633789062,3092000,180.9199981689453,181.72999572753906,179.60000610351562,180.0800018310547,180.0800018310547,1980900,89.58000183105469,89.94999694824219,88.66999816894531,89.16000366210938,83.82424926757812,2250500,170.19000244140625,170.52000427246094,168.3300018310547,169.3800048828125,154.33851623535156,3150600,149.39999389648438,151.33999633789062,148.9499969482422,149.32000732421875,149.32000732421875,535800,1127.010009765625,1131.75,1121.6300048828125,1126.68994140625,1126.68994140625,3928700
2017-11-16,251.75999450683594,255.97999572753906,249.17999267578125,254.9199981689453,254.9199981689453,1048900,1038.75,1051.760009765625,1038.0,1048.469970703125,1048.469970703125,1188400,11.130000114440918,11.319999694824219,11.130000114440918,11.25,11.25,31800400,63.130001068115234,64.41000366210938,63.040000915527344,64.12999725341797,62.87910079956055,4589000,111.18000030517578,111.61000061035156,108.22000122070312,110.33000183105469,110.33000183105469,2885300,181.17999267578125,182.44000244140625,180.5800018310547,182.3000030517578,182.3000030517578,1961200,89.79000091552734,90.75,89.41000366210938,90.4800033569336,85.06525421142578,2297900,168.91000366210938,171.14999389648438,168.75,170.77000427246094,156.66879272460938,3131000,149.5,152.02000427246094,149.10000610351562,151.4600067138672,151.4600067138672,315300,1130.1600341796875,1138.1600341796875,1130.050048828125,1137.2900390625,1137.2900390625,2213300
